Station,Station,Station,Station,Station,Station,Station,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-03-2021 08:30,73.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-04-2021 08:30,120
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-04-2021 08:30,120
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-05-2021 08:30,60.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-05-2021 08:30,60.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-06-2021 08:30,75.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-06-2021 08:30,75.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-07-2021 08:30,85.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-07-2021 08:30,85.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-08-2021 08:30,26.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-08-2021 08:30,26.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-09-2021 08:30,14.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-09-2021 08:30,14.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-10-2021 08:30,11.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-10-2021 08:30,11.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-11-2021 08:30,17.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-11-2021 08:30,17.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,08-12-2021 08:30,34.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,08-12-2021 08:30,34.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/13/2021 8:30,72.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/13/2021 8:30,72.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/14/2021 8:30,58.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/14/2021 8:30,54.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/15/2021 8:30,138.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/15/2021 8:30,138.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/16/2021 8:30,83.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/16/2021 8:30,87.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/17/2021 8:30,38
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/17/2021 8:30,38
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/18/2021 8:30,34.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/18/2021 8:30,34.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/19/2021 8:30,58.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/19/2021 8:30,58.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/20/2021 8:30,49.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/20/2021 8:30,49.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/21/2021 8:30,22.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/21/2021 8:30,22.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/22/2021 8:30,18.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/22/2021 8:30,18.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/23/2021 8:30,13.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/23/2021 8:30,13.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/25/2021 8:30,44
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/25/2021 8:30,44
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/26/2021 8:30,10.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/26/2021 8:30,10.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/27/2021 8:30,63.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/27/2021 8:30,63.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/28/2021 8:30,12.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/28/2021 8:30,12.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/29/2021 8:30,24
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/29/2021 8:30,24
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/30/2021 8:30,23.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/30/2021 8:30,23.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,8/31/2021 8:30,48.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,8/31/2021 8:30,48.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-01-2021 08:30,23
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-01-2021 08:30,23
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-02-2021 08:30,69.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-02-2021 08:30,69.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-03-2021 08:30,48.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-03-2021 08:30,48.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-04-2021 08:30,57.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-04-2021 08:30,57.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-05-2021 08:30,96.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-05-2021 08:30,96.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-06-2021 08:30,125
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-06-2021 08:30,125
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-07-2021 08:30,118.2
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-07-2021 08:30,118.2
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-08-2021 08:30,174.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-08-2021 08:30,174.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-09-2021 08:30,168.4
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-09-2021 08:30,168.4
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-10-2021 08:30,173.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-10-2021 08:30,173.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-11-2021 08:30,185.8
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-11-2021 08:30,180.8
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,09-12-2021 08:30,210.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,09-12-2021 08:30,210.6
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,9/13/2021 8:30,223.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,9/13/2021 8:30,223.6
Amboli,Maharashtra,Pune,KHED,Krishna,Krishna,Koyna,Koyna,18.94166667,73.60277778,9/14/2021 8:30,178
Amboli,Maharashtra,Sindudurg,SAWANTWADI,Terekhol,West flowing rivers from Tapi to Tadri,-,Terekhol,15.96111111,74,9/14/2021 8:30,178
